guide_ra,guide_dec,phot_g_mean_mag,cmos_id
5.201555,38.5863833,12.878,3
5.344715,38.6960539,13.75,3
5.2344911,38.6454381,14.02,3
5.2715881,38.534795,14.39,3
5.32567,38.6554997,14.429,3
5.3387947,38.7058661,14.435,3
5.2466397,38.5811842,14.556,3
5.223585,38.5875217,14.619,3
5.3699791,38.6810333,14.769,3
5.3362894,38.6383767,14.776,3
5.3923182,38.7265089,14.872,3
5.2667133,38.6760875,14.973,3
5.3691592,38.6212194,11.552,3
5.3610431,38.6085908,12.594,3
5.4214714,38.6472644,12.713,3
5.4386706,38.614555,13.479,3
5.4229244,38.6346036,14.549,3
5.4097086,38.5865019,8.811,3
5.3499261,38.5844581,13.847,3
5.3513931,38.5719978,14.208,3
5.3613411,38.587365,14.929,3
5.4023558,38.5717722,9.02,4
5.4274806,38.5574606,11.15,4
5.5279315,38.4724083,11.683,4
5.4280407,38.4209792,11.804,4
5.3431653,38.4627442,11.846,4
5.5180992,38.5083475,12.853,4
5.4002372,38.5570617,13.306,4
5.4259543,38.4955911,13.401,4
5.4189308,38.5468922,13.562,4
5.355765,38.4434336,13.738,4
5.31985,38.4838817,13.863,4
5.3073678,38.508405,14.157,4
5.4590414,38.571665,14.171,4
5.5119298,38.4757758,14.303,4
5.3398533,38.4404906,14.305,4
5.3541722,38.4469261,14.589,4
5.4548666,38.5311994,14.63,4
5.4656525,38.5873703,14.691,4
5.3298653,38.5409889,14.743,4
5.3560137,38.5490203,14.905,4
6.4916869,39.6039906,10.982,5
6.4173008,39.5963783,13.701,5
6.4538296,39.6005411,14.127,5
6.4888067,39.6032989,14.192,5
6.4569033,39.5995811,14.515,5
6.5450962,39.6219967,14.59,5
6.5675864,39.7496828,13.583,5
6.5162686,39.7144853,11.282,5
6.4656343,39.6565419,12.635,5
6.4104675,39.6809292,12.914,5
6.4987094,39.6296036,13.09,5
6.3730067,39.6757072,13.094,5
6.4166328,39.6325683,13.395,5
6.5264528,39.6849286,13.717,5
6.5163465,39.7192814,13.784,5
6.4770336,39.7059917,14.495,5
6.5177093,39.6270869,14.661,5
6.4884136,39.6177603,14.729,5
6.5829244,39.6945114,14.883,5
6.3908314,39.6763439,14.89,5
6.5445457,39.6928233,14.971,5
6.5913368,39.6676911,12.43,5
6.4828761,39.5709033,11.005,6
6.5758269,39.5746314,11.01,6
6.4959767,39.4943944,12.866,6
6.5736283,39.5649511,13.431,6
6.5839161,39.6026997,13.818,6
6.5928206,39.5248792,13.927,6
6.5209789,39.5153039,13.945,6
6.53149,39.4769136,14.383,6
6.5433519,39.5212069,14.469,6
6.5198228,39.5417153,14.519,6
6.4751172,39.5758644,14.751,6
6.6481017,39.5900811,12.373,6
6.6609992,39.5618842,13.168,6
6.6036392,39.6370183,13.344,6
6.6856061,39.5272508,13.386,6
6.6676522,39.6343114,13.685,6
6.6694747,39.5998967,14.187,6
6.5899336,39.6298722,14.378,6
6.6781344,39.5184722,14.386,6
6.6705667,39.5578408,14.476,6
6.6627672,39.6362581,14.664,6
6.6902969,39.4266122,10.167,7
6.7010328,39.4642328,10.877,7
6.6785955,39.4627547,11.503,7
6.7304436,39.3681447,11.864,7
6.7484814,39.4603047,12.524,7
6.7544961,39.4695342,12.845,7
6.7218081,39.4501375,13.072,7
6.7585539,39.4844733,13.441,7
6.6896558,39.4313194,13.644,7
6.6730189,39.4256003,13.737,7
6.7468344,39.4967739,13.904,7
6.7837244,39.3948925,13.955,7
6.6624115,39.4737286,14.109,7
6.7928283,39.3952872,14.147,7
6.7601238,39.4468575,14.171,7
6.6490111,39.4768967,14.3,7
6.7195719,39.4481464,14.304,7
6.7936708,39.4392039,14.697,7
6.7158341,39.4608847,14.723,7
6.6789269,39.4230086,14.81,7
6.7229769,39.4304286,14.827,7
6.8113267,39.3991006,14.834,7
6.6305317,39.3765561,13.201,7
6.6513983,39.4006306,13.573,7
6.6183811,39.4014392,14.128,7
6.5588806,39.4065228,14.171,7
6.6650811,39.4162028,14.578,7
6.5350699,39.4217319,14.792,7
6.6333303,39.4732681,11.409,7
6.5884008,39.4571269,13.676,7
6.8356107,39.3579117,10.491,8
6.8349245,39.3878639,13.444,8
6.8343161,39.3646869,13.868,8
6.683555,39.3008111,10.057,8
6.7136097,39.3484375,11.535,8
6.8616294,39.2972547,12.311,8
6.7735389,39.3322025,12.615,8
6.8080058,39.2228894,13.044,8
6.826914,39.320425,13.181,8
6.8449292,39.2686047,13.85,8
6.8392642,39.2627811,14.189,8
6.7730472,39.2411744,14.348,8
6.8869836,39.2827033,14.506,8
6.8022267,39.2466053,14.674,8
6.7636797,39.2158208,14.925,8
